"HH_ID","Total_Hours","Num_Persons","Midpoint_Income","Average_Hourly_Wage"
100140,57,2,87499.5,31.9808114035088
100206,110,3,62499.5,11.8370265151515
100291,64,2,124999.5,40.68994140625
100355,40,1,42499.5,22.13515625
100374,30,1,62499.5,43.4024305555556
100503,80,2,87499.5,22.786328125
100601,80,2,124999.5,32.551953125
100677,55,2,42499.5,16.0982954545455
100702,40,1,124999.5,65.10390625
101096,80,2,NA,NA
101256,90,2,124999.5,28.9350694444444
101461,35,1,87499.5,52.0830357142857
101973,45,1,87499.5,40.5090277777778
101983,80,2,124999.5,32.551953125
102040,40,1,87499.5,45.57265625
102155,40,1,29999.5,15.6247395833333
102239,90,2,87499.5,20.2545138888889
102372,95,2,NA,NA
102586,120,2,250000,43.4027777777778
102638,45,1,124999.5,57.8701388888889
102718,85,2,NA,NA
103024,80,2,62499.5,16.2759114583333
103087,50,1,87499.5,36.458125
103105,50,1,124999.5,52.083125
103132,75,2,224999.5,62.4998611111111
103923,75,2,NA,NA
104207,72,2,87499.5,25.3181423611111
104212,35,1,124999.5,74.4044642857143
104316,40,1,62499.5,32.5518229166667
104656,52,1,29999.5,12.0190304487179
104900,35,1,87499.5,52.0830357142857
104915,60,1,87499.5,30.3817708333333
105152,70,2,124999.5,37.2022321428571
105258,60,1,NA,NA
105567,60,1,124999.5,43.4026041666667
105778,16,2,NA,NA
105824,40,1,17499.5,9.11432291666667
105889,80,2,124999.5,32.551953125
106054,25,1,62499.5,52.0829166666667
106085,20,1,124999.5,130.2078125
106313,40,1,42499.5,22.13515625
106434,45,1,62499.5,28.9349537037037
106462,48,2,124999.5,54.2532552083333
106667,100,2,87499.5,18.2290625
106832,60,1,62499.5,21.7012152777778
106945,30,1,87499.5,60.7635416666667
106959,40,1,174999.5,91.1455729166667
107001,52,2,62499.5,25.0398637820513
107084,45,1,124999.5,57.8701388888889
107343,37,1,250000,140.765765765766
107345,95,3,174999.5,38.3770833333333
107653,80,2,174999.5,45.5727864583333
107798,35,1,42499.5,25.2973214285714
107805,75,2,62499.5,17.3609722222222
107997,16,1,87499.5,113.931640625
108172,1098,3,250000,4.7434729811779
108198,160,4,62499.5,8.13795572916667
108318,15,1,4999.5,6.94375
108759,144,3,87499.5,12.6590711805556
108857,45,1,87499.5,40.5090277777778
108901,100,3,174999.5,36.4582291666667
108918,74,2,224999.5,63.3444538288288
109088,12,2,42499.5,73.7838541666667
109144,76,3,124999.5,34.2652138157895
109201,135,3,87499.5,13.5030092592593
109353,85,2,224999.5,55.1469362745098
109458,50,1,124999.5,52.083125
109487,80,2,62499.5,16.2759114583333
109638,37,1,124999.5,70.3826013513514
109822,32,2,NA,NA
109840,100,2,87499.5,18.2290625
110633,87,2,124999.5,29.9328304597701
110887,120,2,87499.5,15.1908854166667
110902,40,1,NA,NA
110937,80,2,124999.5,32.551953125
110999,72,2,124999.5,36.1688368055556
111106,50,1,NA,NA
111118,50,1,62499.5,26.0414583333333
111123,45,1,174999.5,81.018287037037
111149,80,2,174999.5,45.5727864583333
111253,33,2,NA,NA
111411,143,3,174999.5,25.4952651515152
111423,85,2,124999.5,30.6371323529412
111569,50,1,NA,NA
111772,80,2,62499.5,16.2759114583333
111777,160,4,124999.5,16.2759765625
111913,15,1,124999.5,173.610416666667
112028,29,2,124999.5,89.7984913793103
112031,40,1,87499.5,45.57265625
112228,1,1,NA,NA
112278,80,2,87499.5,22.786328125
112292,70,2,62499.5,18.6010416666667
112325,42,2,87499.5,43.4025297619048
112554,70,2,124999.5,37.2022321428571
112703,72,2,87499.5,25.3181423611111
112721,82,2,174999.5,44.4612550813008
112743,40,1,87499.5,45.57265625
112860,60,1,42499.5,14.7567708333333
112880,75,2,124999.5,34.7220833333333
113201,115,2,250000,45.2898550724638
113218,90,2,224999.5,52.0832175925926
113356,75,1,124999.5,34.7220833333333
113649,78,2,224999.5,60.0960202991453
113831,25,1,29999.5,24.9995833333333
113899,52,1,124999.5,50.0799278846154
114239,40,1,NA,NA
114442,35,1,42499.5,25.2973214285714
114555,45,1,62499.5,28.9349537037037
114736,70,2,87499.5,26.0415178571429
114877,37,1,62499.5,35.1911599099099
115001,84,1,42499.5,10.5405505952381
115014,40,1,87499.5,45.57265625
